Substance,Type,Valore,Context
1-Methylcyclopropene,NOAEL '=,543.0 mg/kg bw,2005 Not reported Rat reproduction toxicity not reported not reported;
1-Methylcyclopropene,NOAEL '=,68.0 mg/kg bw/day,2005 inhalation: unspecified Rat short-term toxicity not reported not reported;
1-Methylcyclopropene,NOAEL '=,9.0 mg/kg bw/day,2005 inhalation: unspecified Rat subchronic haematology hemopoietic;
1-Methylcyclopropene,LD50 >,81.0 mg/kg bw/day,2018 oral: unspecified Bobwhite quail acute toxicity mortality systemic;
1-Methylcyclopropene,LD50 >,235.0 mg/kg bw/day,2018 oral: unspecified Rat acute toxicity mortality systemic;
1-Methylcyclopropene,NOAEL '=,6.5 mg/kg bw/day,2018 inhalation: unspecified Rat reproduction toxicity not reported not reported;
1-Methylcyclopropene,NOAEL '=,3.8 mg/kg bw/day,2018 oral: feed Rat reproduction toxicity body weight systemic;
1-Methylcyclopropene,NOAEL '=,22.4 mg/kg bw/day,2018 Not reported Unspecified reproduction toxicity not reported not reported;
1-Methylcyclopropene,NOAEL '=,22.4 mg/kg bw/day,2018 oral: unspecified Dog subchronic haematology hemopoietic;
1-Methylcyclopropene formulation (BAS 5-80),LD50 >,10.0 mg/kg,2005 oral: unspecified Honey bee acute toxicity mortality;
1-Methylnicotinamide chloride,NOAEL '=,250.0 mg/kg bw,2017 oral: gavage Rat subchronic clinical chemistry systemic;
1-Methylpyrrolidine,NOAEL '=,50.0 mg/kg bw/day,2009 oral: feed Rat chronic/long term toxicity not reported not reported;
1-Methylpyrrolidine,NOAEL '=,50.0 mg/kg bw/day,2009 Not reported Unspecified reproduction toxicity not reported not reported;
1-Methylpyrrolidine,NOAEL '=,50.0 mg/kg bw/day,2009 Not reported Rat short-term toxicity mortality systemic;
1-Naphthylacetic acid,LD50 >,2510.0 mg/kg bw/day,2011 oral: unspecified Bobwhite quail acute toxicity mortality systemic;
1-Naphthylacetic acid,LD50 >,120.0 µg/piece,2011 oral: unspecified Honey bee acute toxicity mortality;
1-Naphthylacetic acid,LD50 >,2510.0 mg/kg bw/day,2011 oral: unspecified Bobwhite quail acute toxicity mortality systemic;
1-Naphthylacetic acid,LD50 >,2000.0 mg/kg bw/day,2011 oral: unspecified Rat acute toxicity mortality systemic;
1-Naphthylacetic acid,NOAEL '=,15.0 mg/kg bw/day,2011 Not reported Rat reproduction toxicity development teratogenic;
1-Naphthylacetic acid,NOAEL '=,10.0 mg/kg bw/day,2011 oral: unspecified Rat subchronic haematology hemopoietic;
1-Naphthylacetic acid,NOAEL '=,15.0 mg/kg bw/day,2011 Not reported Rat reproduction toxicity development teratogenic;
1-Naphthylacetic acid,NOAEL '=,10.0 mg/kg bw/day,2011 oral: unspecified Rat subchronic haematology hemopoietic;
1-Naphthylacetic acid formulation (Obsthormon 24A),LD50 >,2000.0 mg/kg bw/day,2011 oral: unspecified Rat acute toxicity mortality systemic;
1-Octene,NOAEL '=,44.0 mg/kg bw/day,2015 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
1-Phenethyl acetate,NOAEL '=,50.0 mg/kg bw/day,2016 oral: feed Rat subchronic haematology hemopoietic;
1-Phenyl-(3 or 5)-propylpyrazole,NOAEL '=,25.0 mg/kg bw/day,2011 Not reported Unspecified subchronic not reported not reported;
1-Phenylethan-1-ol,NOAEL '=,50.0 mg/kg bw/day,2016 oral: feed Rat subchronic haematology hemopoietic;
1-Phenylethylmercaptan,NOAEL '=,0.06 mg/kg bw/day,2011 oral: unspecified Rat subchronic not reported not reported;
1-Phenylethylmercaptan,NOAEL '=,0.06 mg/kg bw/day,2014 oral: unspecified Rat subchronic not reported not reported;
2-(1-Naphthyl)acetamide,LD50 >,100.0 µg/piece,2011 dermal Honey bee acute toxicity mortality;
2-(1-Naphthyl)acetamide,LD50 >,2000.0 mg/kg bw/day,2011 oral: unspecified Japanese quail acute toxicity mortality systemic;
2-(1-Naphthyl)acetamide,LD50 '=,1933.0 mg/kg bw/day,2011 oral: unspecified Mouse acute toxicity mortality systemic;
2-(1-Naphthyl)acetamide,LD50 '=,1655.0 mg/kg bw/day,2011 oral: unspecified Rat acute toxicity mortality systemic;
2-(1-Naphthyl)acetamide,LD50 >,5050.0 mg/kg bw/day,2011 oral: unspecified Rat acute toxicity mortality systemic;
2-(1-Naphthyl)acetamide,NOAEL '=,15.0 mg/kg bw/day,2011 Not reported Rat reproduction toxicity development teratogenic;
2-(1-Naphthyl)acetamide,NOAEL '=,10.0 mg/kg bw/day,2011 oral: unspecified Rat subchronic haematology hemopoietic;
2-(1-Naphthyl)acetamide,NOAEL '=,195.0 mg/kg bw/day,2011 Not reported Mouse chronic/long term toxicity other systemic;
2-(1-Naphthyl)acetamide,NOAEL '=,43.8 mg/kg bw/day,2011 Not reported Rat chronic/long term toxicity organ weights systemic;
2-(1-Naphthyl)acetamide,NOAEL '=,15.0 mg/kg bw/day,2011 Not reported Rat reproduction toxicity development teratogenic;
2-(1-Naphthyl)acetamide,NOAEL '=,5.0 mg/kg bw/day,2011 oral: unspecified Rat subchronic organ weights systemic;
2-(1-Naphthyl)acetamide,NOAEL '=,10.0 mg/kg bw/day,2011 oral: unspecified Rat subchronic haematology hemopoietic;
2-(1-Napthyl)acetamide formulation (Amid-Thin W (Amvac)),LD50 >,10000.0 mg/kg bw/day,2011 oral: unspecified Rat acute toxicity mortality systemic;
2-(3-Phenylpropyl)pyridine,NOAEL '=,37.0 mg/kg bw/day,2009 oral: feed Rat subchronic not reported not reported;
2-(3-Phenylpropyl)pyridine,NOAEL '=,37.0 mg/kg bw/day,2014 oral: feed Rat subchronic not reported not reported;
2-(3-Phenylpropyl)pyridine,NOAEL '=,37.0 mg/kg bw/day,2015 oral: feed Rat subchronic not reported not reported;
2-(3-Phenylpropyl)pyridine,NOAEL '=,37.0 mg/kg bw/day,2018 oral: feed Rat subchronic not reported not reported;
2-(4-methylphenoxy)-N-1H-pyrazol-3-yl-N-(thiophen-2-ylmethyl)acetamide,NOAEL '=,1000.0 mg/kg bw/day,2018 oral: gavage Rat reproduction toxicity no adverse effect observed at single/highest dose;
2-(4-methylphenoxy)-N-1H-pyrazol-3-yl-N-(thiophen-2-ylmethyl)acetamide,NOAEL '=,100.0 mg/kg bw/day,2018 oral: gavage Rat subchronic no adverse effect observed at single/highest dose;
2-(Methylthio)ethan-1-ol,NOAEL '=,250.0 mg/kg bw/day,2011 Not reported Unspecified subchronic not reported not reported;
2-(Methylthio)ethan-1-ol,NOAEL '=,250.0 mg/kg bw/day,2014 oral: unspecified Rat subchronic not reported not reported;
2-(Methylthio)propionic acid,NOAEL '=,250.0 mg/kg bw/day,2010 oral: gavage Rat subchronic no adverse effect observed at single/highest dose;
2-(Methylthio)propionic acid,NOAEL '=,250.0 mg/kg bw/day,2010 oral: gavage Rat subchronic no adverse effect observed at single/highest dose;
2-(Methylthio)propionic acid,NOAEL '=,250.0 mg/kg bw/day,2011 oral: gavage Rat subchronic no adverse effect observed at single/highest dose;
2-(Methylthio)propionic acid,NOAEL '=,250.0 mg/kg bw/day,2012 oral: gavage Rat subchronic no adverse effect observed at single/highest dose;
2-(Methylthio)propionic acid,NOAEL '=,250.0 mg/kg bw/day,2012 oral: gavage Rat subchronic no adverse effect observed at single/highest dose;
2-[(2-Ethyl-6-methylphenyl) amino]-2-oxoethane sulfonic acid,NOAEL '=,150.0 mg/kg bw/day,2011 Not reported Rat acute toxicity not reported neurotoxicity;
2-[(2-Ethyl-6-methylphenyl) amino]-2-oxoethane sulfonic acid,NOAEL '=,2.0 mg/kg bw/day,2011 oral: unspecified Dog chronic/long term toxicity histopathology non neoplastic systemic;
2-[(Ethoxymethyl)(2-ethyl-6-methylphenyl)amino]-2-oxoethanesulfonic acid,NOAEL '=,150.0 mg/kg bw/day,2011 Not reported Rat acute toxicity not reported neurotoxicity;
2-[(Ethoxymethyl)(2-ethyl-6-methylphenyl)amino]-2-oxoethanesulfonic acid,NOAEL '=,2.0 mg/kg bw/day,2011 oral: unspecified Dog chronic/long term toxicity histopathology non neoplastic systemic;
2-Acetyl-1-ethylpyrrole,NOAEL '=,25.0 mg/kg bw/day,2015 oral: feed Rat subchronic haematology hepatotoxicity;
2-Acetyl-1-ethylpyrrole,NOAEL '=,25.0 mg/kg bw/day,2018 oral: feed Rat subchronic haematology hepatotoxicity;
2-Acetyl-1-methylpyrrole,NOAEL '=,25.0 mg/kg bw/day,2015 oral: feed Rat subchronic haematology hepatotoxicity;
2-Acetyl-1-methylpyrrole,NOAEL '=,25.0 mg/kg bw/day,2018 oral: feed Rat subchronic haematology hepatotoxicity;
2-Acetyl-2-thiazoline,NOAEL '=,1.8 mg/kg bw/day,2013 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
2-Acetyl-2-thiazoline,NOAEL '=,1.8 mg/kg bw/day,2013 Not reported Rat subchronic not reported not reported;
2-Acetyl-4-ethylthiazole,NOAEL '=,25.0 mg/kg bw/day,2008 Not reported Rat subchronic no adverse effect observed at single/highest dose;
2-Acetyl-4-ethylthiazole,NOAEL '=,25.0 mg/kg bw/day,2009 Not reported Rat subchronic no adverse effect observed at single/highest dose;
2-Acetyl-4-ethylthiazole,NOAEL '=,25.0 mg/kg bw/day,2011 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
2-Acetyl-4-ethylthiazole,NOAEL '=,25.0 mg/kg bw/day,2012 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
2-Acetyl-4-ethylthiazole,NOAEL '=,25.0 mg/kg bw/day,2013 Not reported Rat subchronic not reported not reported;
2-Acetyl-4-ethylthiazole,NOAEL '=,25.0 mg/kg bw/day,2015 Not reported Rat subchronic not reported not reported;
2-Acetyl-4-methylthiazole,NOAEL '=,25.0 mg/kg bw/day,2008 Not reported Rat subchronic no adverse effect observed at single/highest dose;
2-Acetyl-4-methylthiazole,NOAEL '=,25.0 mg/kg bw/day,2009 Not reported Rat subchronic no adverse effect observed at single/highest dose;
2-Acetyl-4-methylthiazole,NOAEL '=,25.0 mg/kg bw/day,2011 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
2-Acetyl-4-methylthiazole,NOAEL '=,25.0 mg/kg bw/day,2012 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
2-Acetyl-4-methylthiazole,NOAEL '=,25.0 mg/kg bw/day,2013 Not reported Rat subchronic not reported not reported;
2-Acetyl-4-methylthiazole,NOAEL '=,25.0 mg/kg bw/day,2015 Not reported Rat subchronic not reported not reported;
2-Acetyl-5-methylpyrrole,NOAEL '=,48.0 mg/kg bw/day,2013 oral: gavage Rat subchronic haematology hemopoietic;
2-Acetyl-5-methylthiazole,NOAEL '=,25.0 mg/kg bw/day,2008 Not reported Rat subchronic no adverse effect observed at single/highest dose;
2-Acetyl-5-methylthiazole,NOAEL '=,25.0 mg/kg bw/day,2009 Not reported Rat subchronic no adverse effect observed at single/highest dose;
2-Acetyl-5-methylthiazole,NOAEL '=,25.0 mg/kg bw/day,2011 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
2-Acetyl-5-methylthiazole,NOAEL '=,25.0 mg/kg bw/day,2012 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
2-Acetyl-5-methylthiazole,NOAEL '=,25.0 mg/kg bw/day,2013 Not reported Rat subchronic not reported not reported;
2-Acetyl-5-methylthiazole,NOAEL '=,25.0 mg/kg bw/day,2015 Not reported Rat subchronic not reported not reported;
2-Acetylbutyric acid,NOAEL '=,600.0 mg/day,2005 Not reported Mammalian cell line not reported development teratogenic;
2-Acetylbutyric acid,NOAEL '=,600.0 mg/kg bw/day,2009 Not reported Unspecified not reported development teratogenic;
2-Acetylpyridine,NOAEL '=,37.0 mg/kg bw/day,2006 oral: gavage Rat subchronic gross pathology systemic;
2-Acetylpyridine,NOAEL '=,37.0 mg/kg bw/day,2008 oral: gavage Rat subchronic gross pathology systemic;
2-Acetylpyridine,NOAEL '=,37.0 mg/kg bw/day,2009 oral: feed Rat subchronic not reported not reported;
2-Acetylpyridine,NOAEL '=,37.0 mg/kg bw/day,2013 oral: gavage Rat subchronic haematology hemopoietic;
2-Acetylpyridine,NOAEL '=,37.0 mg/kg bw/day,2014 oral: feed Rat subchronic not reported not reported;
2-Acetylpyridine,NOAEL '=,37.0 mg/kg bw/day,2015 oral: feed Rat subchronic not reported not reported;
2-Acetylpyridine,NOAEL '=,37.0 mg/kg bw/day,2016 oral: gavage Rat subchronic haematology hemopoietic;
2-Acetylpyridine,NOAEL '=,37.0 mg/kg bw/day,2018 oral: feed Rat subchronic not reported not reported;
2-Acetylpyrrole,NOAEL '=,48.0 mg/kg bw/day,2013 oral: gavage Rat subchronic haematology hemopoietic;
2-Acetylpyrrole,NOAEL '=,48.0 µg/kg bw/day,2014 oral: unspecified Rat subchronic histopathology neoplastic endocrine;
2-Acetylpyrrole,NOAEL '=,48.0 mg/kg bw/day,2015 oral: gavage Rat subchronic haematology hemopoietic;
2-Acetylpyrrole,NOAEL '=,48.0 mg/kg bw/day,2016 oral: feed Rat subchronic histopathology non neoplastic endocrine;
2-Acetylpyrrole,NOAEL '=,48.0 µg/kg bw/day,2018 oral: unspecified Rat subchronic histopathology neoplastic endocrine;
2-Acetylthiazole,NOAEL '=,50.0 mg/kg bw/day,2011 oral: feed Rat subchronic not reported not reported;
2-Acetylthiazole,NOAEL '=,50.0 mg/kg bw/day,2016 oral: feed Rat subchronic body weight systemic;
2-Acetylthiophene,NOAEL '=,7.5 mg/kg bw/day,2015 oral: gavage Rat subchronic clinical chemistry systemic;
2-Amino-4-(methylsulfonyl)benzoic acid,LD50 >,5000.0 mg/kg bw,2016 Not reported Rat acute toxicity mortality systemic;
2-Butylpyridine,NOAEL '=,37.0 mg/kg bw/day,2006 oral: gavage Rat subchronic gross pathology systemic;
2-Butylpyridine,NOAEL '=,37.0 mg/kg bw/day,2008 oral: gavage Rat subchronic gross pathology systemic;
2-Butylpyridine,NOAEL '=,37.0 mg/kg bw/day,2013 oral: gavage Rat subchronic haematology hemopoietic;
2-Butylthiazole,NOAEL '=,25.0 mg/kg bw/day,2008 Not reported Rat subchronic no adverse effect observed at single/highest dose;
2-Butylthiazole,NOAEL '=,25.0 mg/kg bw/day,2009 Not reported Rat subchronic no adverse effect observed at single/highest dose;
2-Butylthiazole,NOAEL '=,25.0 mg/kg bw/day,2011 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
2-Butylthiazole,NOAEL '=,25.0 mg/kg bw/day,2012 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
2-Butylthiazole,NOAEL '=,25.0 mg/kg bw/day,2013 Not reported Rat subchronic not reported not reported;
2-Butylthiazole,NOAEL '=,25.0 mg/kg bw/day,2015 Not reported Rat subchronic not reported not reported;
2-Butylthiophene,NOAEL '=,5.5 mg/kg bw/day,2015 oral: feed Rat subchronic haematology systemic;
2-Chloro-4-(methylsulfonyl)-benzoic acid,LD50 >,2000.0 mg/kg bw/day,2008 oral: unspecified Rat acute toxicity mortality systemic;
2-Chloro-4-(methylsulfonyl)-benzoic acid,LD50 >,2010.0 mg/kg bw/day,2008 oral: feed Mallard duck short-term toxicity mortality systemic;
2-Chlorobenzamide,NOAEL '=,1.42 mg/kg bw/day,2011 oral: unspecified Dog chronic/long term toxicity haematology hemopoietic;
2-Chlorobenzoic acid,NOAEL '=,1.42 mg/kg bw/day,2011 oral: unspecified Dog chronic/long term toxicity haematology hemopoietic;
2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone,NOAEL '=,200.0 mg/kg bw/day,2012 Not reported Rat chronic/long term toxicity body weight systemic;
2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone,NOAEL '=,200.0 mg/kg bw/day,2019 Not reported Rat chronic/long term toxicity body weight systemic;
2-Ethylbutyric acid,NOAEL '=,200.0 mg/kg bw/day,2004 oral: gavage Rat reproduction toxicity no adverse effect observed at single/highest dose;
2-Ethylbutyric acid,NOAEL '=,200.0 mg/kg bw/day,2008 oral: gavage Rat reproduction toxicity no adverse effect observed at single/highest dose;
2-Ethylbutyric acid,NOAEL '=,200.0 mg/kg bw/day,2011 oral: gavage Rat reproduction toxicity no adverse effect observed at single/highest dose;
2-Ethylbutyric acid,NOAEL '=,200.0 mg/kg bw/day,2011 oral: gavage Rat reproduction toxicity no adverse effect observed at single/highest dose;
2-Ethylbutyric acid,NOAEL >,1000.0 mg/kg bw/day,2012 oral: gavage Rat chronic/long term toxicity no adverse effect observed at single/highest dose;
2-Ethylbutyric acid,NOAEL '=,50.0 mg/kg bw/day,2012 oral: gavage Rat chronic/long term toxicity body weight systemic;
2-Ethylbutyric acid,NOAEL '=,340.0 mg/kg bw/day,2012 oral: drinking water Rat subchronic haematology hemopoietic;
2-Ethylbutyric acid,NOAEL >,1450.0 mg/kg bw/day,2012 oral: drinking water Rat subchronic no adverse effect observed at single/highest dose;
2-Ethylbutyric acid,NOAEL >,300.0 mg/kg bw/day,2012 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
2-Ethylbutyric acid,NOAEL >,2500.0 mg/kg bw/day,2012 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
2-Ethylbutyric acid,NOAEL '=,125.0 mg/kg bw/day,2012 oral: gavage Rat subchronic gross pathology systemic;
2-Ethylbutyric acid,NOAEL >,219.0 mg/kg bw/day,2012 oral: unspecified Rat subchronic no adverse effect observed at single/highest dose;
2-Ethylbutyric acid,NOAEL '=,200.0 mg/kg bw/day,2013 oral: gavage Rat reproduction toxicity no adverse effect observed at single/highest dose;
2-Ethylhexanal,NOAEL '=,50.0 mg/kg bw/day,2009 oral: gavage Rat chronic/long term toxicity histopathology neoplastic systemic;
2-Ethylhexanoic acid,NOAEL '=,50.0 mg/kg bw/day,2009 oral: gavage Rat chronic/long term toxicity histopathology neoplastic systemic;
2-Ethylhexanol,NOAEL '=,50.0 mg/kg bw/day,2009 oral: gavage Rat chronic/long term toxicity histopathology neoplastic systemic;
2-Ethylhexanol,NOAEL '=,50.0 mg/kg bw/day,2012 oral: gavage Rat chronic/long term toxicity body weight systemic;
2-Ethylhexyl acetate,NOAEL '=,50.0 mg/kg bw/day,2009 oral: gavage Rat chronic/long term toxicity histopathology neoplastic systemic;
2-Ethylhexyl-4-dimethylaminobenzoate,NOAEL '=,100.0 mg/kg bw/day,2005 Not reported Rat subchronic histopathology non neoplastic systemic;
2-Ethylpyridine,NOAEL '=,37.0 mg/kg bw/day,2006 oral: gavage Rat subchronic gross pathology systemic;
2-Ethylpyridine,NOAEL '=,37.0 mg/kg bw/day,2008 oral: gavage Rat subchronic gross pathology systemic;
2-Ethylpyridine,NOAEL '=,37.0 mg/kg bw/day,2013 oral: gavage Rat subchronic haematology hemopoietic;
2-Ethylthiazole,NOAEL '=,25.0 mg/kg bw/day,2008 Not reported Rat subchronic no adverse effect observed at single/highest dose;
2-Ethylthiazole,NOAEL '=,25.0 mg/kg bw/day,2009 Not reported Rat subchronic no adverse effect observed at single/highest dose;
2-Ethylthiazole,NOAEL '=,25.0 mg/kg bw/day,2011 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
2-Ethylthiazole,NOAEL '=,25.0 mg/kg bw/day,2012 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
